category,after,before,during
BURGLARY,610.0416666666666,878.9583333333334,686.5
MOTOR VEHICLE THEFT,1484.8333333333333,777.1666666666666,839.25
ROBBERY,714.5833333333334,729.4166666666666,641.5833333333334
THEFT,4127.875,5325.916666666667,3113.5
